Time,BPM
09:16:36,0.00bpm
09:16:53,0.00bpm
09:17:02,0.00bpm
09:17:12,0.00bpm
09:20:38,73.01bpm
09:20:48,76.19bpm
09:20:58,90.71bpm
09:21:08,81.25bpm
09:21:18,69.56bpm
09:21:28,71.91bpm
09:21:38,68.08bpm
09:21:48,0.00bpm
09:21:58,0.00bpm
09:22:08,0.00bpm
09:22:18,0.00bpm
09:22:28,0.00bpm
09:22:38,0.00bpm
09:22:48,0.00bpm
09:22:58,0.00bpm
09:23:08,0.00bpm
09:23:18,0.00bpm
09:23:28,0.00bpm
09:23:38,1.20bpm
09:23:48,88.20bpm
09:23:58,68.48bpm
09:24:08,71.17bpm
09:24:18,73.74bpm
09:24:28,80.77bpm
09:24:38,69.30bpm
09:24:48,69.78bpm
09:24:58,0.00bpm
09:25:08,0.00bpm
09:25:18,0.00bpm
09:25:28,0.00bpm
09:25:38,0.00bpm
09:25:48,0.00bpm
09:25:58,0.00bpm
09:26:08,0.00bpm
09:26:18,0.00bpm
09:26:28,0.00bpm
09:26:38,0.00bpm
09:26:48,0.00bpm
09:26:58,0.00bpm
09:27:08,0.00bpm
09:27:18,0.00bpm
09:27:28,0.00bpm
09:27:38,0.00bpm
09:27:48,0.00bpm
09:27:58,0.00bpm
09:28:08,0.00bpm
09:28:18,27.04bpm
09:28:28,71.42bpm
09:28:38,71.11bpm
09:28:48,70.82bpm
09:28:58,68.72bpm
09:29:08,68.77bpm
09:29:18,77.25bpm
09:29:28,80.49bpm
09:29:38,0.00bpm
09:29:48,0.00bpm
09:29:58,0.00bpm
09:30:08,0.00bpm
09:30:18,0.00bpm
09:30:28,0.00bpm
09:30:38,0.00bpm
09:30:48,0.00bpm
09:30:58,0.00bpm
09:46:58,39.89bpm
09:47:08,74.25bpm
09:47:18,93.96bpm
09:47:28,81.91bpm
09:47:38,74.21bpm
09:47:48,84.03bpm
09:47:59,76.89bpm
09:48:09,80.78bpm
09:48:19,0.00bpm
09:48:29,0.00bpm
09:48:39,0.00bpm
09:48:49,0.00bpm
09:48:59,0.00bpm
09:49:09,0.00bpm
09:49:19,0.00bpm
09:49:29,0.00bpm
09:49:39,0.00bpm
09:49:49,0.00bpm
09:49:59,0.00bpm
09:52:19,71.17bpm
09:52:29,82.79bpm
09:52:39,76.38bpm
09:52:49,73.79bpm
09:52:59,76.76bpm
09:53:09,75.78bpm
09:53:19,77.37bpm
09:53:29,0.00bpm
09:53:39,0.00bpm
09:53:49,0.00bpm
09:53:59,0.00bpm
09:54:19,0.00bpm
09:54:39,0.00bpm
09:54:49,0.00bpm
09:54:59,0.00bpm
09:55:09,0.00bpm
09:55:19,0.00bpm
09:55:29,78.40bpm
09:55:39,74.37bpm
09:55:49,72.39bpm
09:55:59,81.90bpm
09:56:09,77.11bpm
09:56:19,79.86bpm
09:56:29,74.28bpm
09:56:39,0.00bpm
10:13:45,0.00bpm
10:13:54,0.00bpm
10:14:04,0.00bpm
10:14:14,0.00bpm
10:14:24,0.00bpm
10:14:34,0.00bpm
10:14:44,0.00bpm
10:14:55,0.00bpm
10:15:05,0.00bpm
10:15:15,0.00bpm
10:15:25,0.00bpm
10:15:35,0.00bpm
10:15:45,0.00bpm
10:15:55,0.00bpm
10:16:55,75.65bpm
10:17:05,67.85bpm
10:17:15,70.19bpm
10:17:25,71.17bpm
10:17:35,75.56bpm
10:17:45,71.51bpm
10:17:55,78.15bpm
10:18:05,0.00bpm
10:18:15,0.00bpm
10:18:25,0.00bpm
10:18:35,0.00bpm
10:18:45,0.00bpm
10:18:55,0.00bpm
10:19:05,0.00bpm
10:19:15,0.00bpm
10:19:25,0.00bpm
10:19:35,0.00bpm
10:19:45,0.00bpm
10:19:55,0.00bpm
10:20:55,0.00bpm
10:22:05,86.27bpm
10:22:15,81.71bpm
10:22:25,82.67bpm
10:22:35,82.56bpm
10:22:45,77.35bpm
10:22:55,77.34bpm
10:23:05,82.31bpm
10:23:15,0.00bpm
10:23:25,0.00bpm
10:23:35,0.00bpm
10:23:45,0.00bpm
10:23:55,0.00bpm
10:24:05,0.00bpm
10:24:15,0.00bpm
10:24:25,0.00bpm
10:24:35,0.00bpm
10:24:45,0.00bpm
10:24:55,0.00bpm
10:31:45,70.44bpm
10:31:55,84.99bpm
10:32:05,75.03bpm
10:32:15,73.26bpm
10:32:25,79.83bpm
10:32:35,68.51bpm
10:32:45,67.99bpm
