Time,SpO2
09:16:36,0.00%
09:16:53,0.00%
09:17:02,0.00%
09:17:12,0.00%
09:20:38,95.00%
09:20:48,95.00%
09:20:58,95.00%
09:21:08,0.00%
09:21:18,95.00%
09:21:28,94.00%
09:21:38,95.00%
09:21:48,0.00%
09:21:58,0.00%
09:22:08,0.00%
09:22:18,0.00%
09:22:28,0.00%
09:22:38,0.00%
09:22:48,0.00%
09:22:58,0.00%
09:23:08,0.00%
09:23:18,0.00%
09:23:28,0.00%
09:23:38,0.00%
09:23:48,96.00%
09:23:58,96.00%
09:24:08,96.00%
09:24:18,96.00%
09:24:28,96.00%
09:24:38,96.00%
09:24:48,96.00%
09:24:58,0.00%
09:25:08,0.00%
09:25:18,0.00%
09:25:28,0.00%
09:25:38,0.00%
09:25:48,0.00%
09:25:58,0.00%
09:26:08,0.00%
09:26:18,0.00%
09:26:28,0.00%
09:26:38,0.00%
09:26:48,0.00%
09:26:58,0.00%
09:27:08,0.00%
09:27:18,0.00%
09:27:28,0.00%
09:27:38,0.00%
09:27:48,0.00%
09:27:58,0.00%
09:28:08,0.00%
09:28:18,0.00%
09:28:28,96.00%
09:28:38,96.00%
09:28:48,95.00%
09:28:58,95.00%
09:29:08,94.00%
09:29:18,95.00%
09:29:28,95.00%
09:29:38,0.00%
09:29:48,0.00%
09:29:58,0.00%
09:30:08,0.00%
09:30:18,0.00%
09:30:28,0.00%
09:30:38,0.00%
09:30:48,0.00%
09:30:58,0.00%
09:31:08,0.00%
09:31:18,95.00%
09:31:28,95.00%
09:31:38,94.00%
09:31:48,94.00%
09:31:58,94.00%
09:32:08,93.00%
09:32:18,95.00%
09:32:28,93.00%
09:32:38,99.00%
09:32:48,95.00%
09:32:58,95.00%
09:34:39,95.00%
09:34:49,0.00%
09:34:59,0.00%
09:36:09,95.00%
09:36:19,95.00%
09:36:29,95.00%
09:36:39,95.00%
09:36:48,95.00%
09:36:58,94.00%
09:39:09,96.00%
09:39:19,95.00%
09:39:29,95.00%
09:39:39,95.00%
09:39:49,95.00%
09:39:59,93.00%
09:46:58,0.00%
09:47:08,95.00%
09:47:18,95.00%
09:47:28,96.00%
09:47:38,95.00%
09:47:48,95.00%
09:47:59,95.00%
09:48:09,95.00%
09:48:19,0.00%
09:48:29,0.00%
09:48:39,0.00%
09:48:49,0.00%
09:48:59,0.00%
09:49:09,0.00%
09:49:19,0.00%
09:49:29,0.00%
09:49:39,0.00%
09:49:49,0.00%
09:49:59,0.00%
09:52:19,0.00%
09:52:29,94.00%
09:52:39,95.00%
09:52:49,95.00%
09:52:59,95.00%
09:53:09,95.00%
09:53:19,95.00%
09:53:39,0.00%
09:53:49,0.00%
09:53:59,0.00%
09:54:19,0.00%
09:54:29,95.00%
09:54:39,0.00%
09:54:49,0.00%
09:54:59,0.00%
09:55:09,0.00%
09:55:19,0.00%
09:55:29,0.00%
09:55:39,96.00%
09:55:49,95.00%
09:55:59,95.00%
09:56:09,95.00%
09:56:19,95.00%
09:56:29,95.00%
09:56:39,0.00%
10:13:45,0.00%
10:13:54,0.00%
10:14:04,0.00%
10:14:14,0.00%
10:14:24,0.00%
10:14:34,0.00%
10:14:44,0.00%
10:14:55,0.00%
10:15:05,0.00%
10:15:15,0.00%
10:15:25,0.00%
10:15:35,0.00%
10:15:45,0.00%
10:15:55,0.00%
10:16:55,95.00%
10:17:05,95.00%
10:17:15,95.00%
10:17:25,96.00%
10:17:35,96.00%
10:17:45,95.00%
10:17:55,95.00%
10:18:05,0.00%
10:18:15,0.00%
10:18:25,0.00%
10:18:35,0.00%
10:18:45,0.00%
10:18:55,0.00%
10:19:05,0.00%
10:19:15,0.00%
10:19:25,0.00%
10:19:35,0.00%
10:19:45,0.00%
10:19:55,0.00%
10:20:55,0.00%
10:22:05,96.00%
10:22:15,96.00%
10:22:25,96.00%
10:22:35,96.00%
10:22:45,96.00%
10:22:55,95.00%
10:23:05,95.00%
10:23:15,0.00%
10:23:25,0.00%
10:23:35,0.00%
10:23:45,0.00%
10:23:55,0.00%
10:24:05,0.00%
10:24:15,0.00%
10:24:25,0.00%
10:24:35,0.00%
10:24:45,0.00%
10:24:55,0.00%
10:26:55,0.00%
10:29:05,95.00%
10:29:15,95.00%
10:29:25,94.00%
10:29:35,95.00%
10:29:45,94.00%
10:29:55,95.00%
10:31:45,96.00%
10:31:55,96.00%
10:32:05,96.00%
10:32:15,96.00%
10:32:25,96.00%
10:32:35,95.00%
10:32:45,96.00%
